ref_organ,scene_node,URL
http://purl.org/ccf/latest/ccf.owl#VHFAllenBrain,Allen_brain,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/Allen_F_Brain.glb
http://purl.org/ccf/latest/ccf.owl#VHFBloodVasculature,VH_F_blood_vasculature,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Blood_Vasculature.glb
http://purl.org/ccf/latest/ccf.owl#VHFHeartV1.1,VH_F_heart,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Heart.glb
http://purl.org/ccf/latest/ccf.owl#VHFLargeIntestine,VH_F_colon,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/SBU_F_Intestine_Large.glb
http://purl.org/ccf/latest/ccf.owl#VHFLarynx,VH_F_larynx,https://ccf-ontology.hubmapconsortium.org/objects/v1.4/3d-vh-f-larynx.glb
http://purl.org/ccf/latest/ccf.owl#VHFLeftEye,VH_F_eye_L,https://ccf-ontology.hubmapconsortium.org/objects/v1.4/3d-vh-f-eye-l.glb
http://purl.org/ccf/latest/ccf.owl#VHFLeftFallopianTube,VH_F_fallopian_tube_L,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Fallopian_Tube_L.glb
http://purl.org/ccf/latest/ccf.owl#VHFLeftKidneyV1.1,VH_F_left_kidney,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Kidney_L.glb
http://purl.org/ccf/latest/ccf.owl#VHFLeftKnee,VH_F_knee_L,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Knee_L.glb
http://purl.org/ccf/latest/ccf.owl#VHFLeftMammaryGland,VH_F_mammary_gland_L,https://ccf-ontology.hubmapconsortium.org/objects/v1.3/3d-vh-f-mammary-gland-l.glb
http://purl.org/ccf/latest/ccf.owl#VHFLeftOvary,VH_F_left_ovary,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Ovary_L.glb
http://purl.org/ccf/latest/ccf.owl#VHFLeftPalatineTonsil,VH_F_palatine_tonsil_L,https://ccf-ontology.hubmapconsortium.org/objects/v1.4/3d-vh-f-palatine-tonsil-l.glb
http://purl.org/ccf/latest/ccf.owl#VHFLeftUreter,VH_F_left_ureter,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Ureter_L.glb
http://purl.org/ccf/latest/ccf.owl#VHFLiver,VH_F_liver,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Liver.glb
http://purl.org/ccf/latest/ccf.owl#VHFLungV1.2,VH_F_respiratory_system,https://ccf-ontology.hubmapconsortium.org/objects/v1.4/3d-vh-f-lung.glb
http://purl.org/ccf/latest/ccf.owl#VHFLymphNode,Yao_lymph_node,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/NIH_F_Lymph_Node.glb
http://purl.org/ccf/latest/ccf.owl#VHFMainBronchus,VH_F_main_bronchi,https://ccf-ontology.hubmapconsortium.org/objects/v1.4/3d-vh-f-main-bronchus.glb
http://purl.org/ccf/latest/ccf.owl#VHFPancreas,VH_F_pancreas,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Pancreas.glb
http://purl.org/ccf/latest/ccf.owl#VHFPelvis,VH_F_pelvis,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Pelvis.glb
http://purl.org/ccf/latest/ccf.owl#VHFPlacenta,VH_F_placenta,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Placenta.glb
http://purl.org/ccf/latest/ccf.owl#VHFRightEye,VH_F_eye_R,https://ccf-ontology.hubmapconsortium.org/objects/v1.4/3d-vh-f-eye-r.glb
http://purl.org/ccf/latest/ccf.owl#VHFRightFallopianTube,VH_F_fallopian_tube_R,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Fallopian_Tube_R.glb
http://purl.org/ccf/latest/ccf.owl#VHFRightKidneyV1.1,VH_F_right_kidney,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Kidney_R.glb
http://purl.org/ccf/latest/ccf.owl#VHFRightKnee,VH_F_knee_R,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Knee_R.glb
http://purl.org/ccf/latest/ccf.owl#VHFRightMammaryGland,VH_F_mammary_gland_R,https://ccf-ontology.hubmapconsortium.org/objects/v1.3/3d-vh-f-mammary-gland-r.glb
http://purl.org/ccf/latest/ccf.owl#VHFRightOvary,VH_F_right_ovary,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Ovary_R.glb
http://purl.org/ccf/latest/ccf.owl#VHFRightPalatineTonsil,VH_F_palatine_tonsil_R,https://ccf-ontology.hubmapconsortium.org/objects/v1.4/3d-vh-f-palatine-tonsil-r.glb
http://purl.org/ccf/latest/ccf.owl#VHFRightUreter,VH_F_right_ureter,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Ureter_R.glb
http://purl.org/ccf/latest/ccf.owl#VHFSkinV1.1,VH_F_skin,https://ccf-ontology.hubmapconsortium.org/objects/v1.3/3d-vh-f-skin.glb
http://purl.org/ccf/latest/ccf.owl#VHFSmallIntestine,VH_F_small_intestine,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Small_Intestine.glb
http://purl.org/ccf/latest/ccf.owl#VHFSpinalCord,VH_F_spinal_cord,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Spinal_Cord.glb
http://purl.org/ccf/latest/ccf.owl#VHFSpleenV1.1,VH_F_spleen,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Spleen.glb
http://purl.org/ccf/latest/ccf.owl#VHFThymusV1.1,VH_F_thymus,https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Thymus.glb
